text,label
im feeling less annoyed with him,anger
i got a feeling that the hateful talk in the work place wore thin and they kept her around only for what they absolutely needed her to cover,anger
i feel that with all the talented players that we currently have especially with most of them being rested for the next game and the experience that our players bring to the game we have the ability to go further than we ever have,joy
ive been waiting to get some time alone for quite a few weeks now and when i finally get it im feeling a bit homesick,sadness
i felt out of control i hated myself for feeling it then felt more out of control hated myself for hating that i hated it and it just got worse until i was walking to work in a haze trying to not curl up on the pavement and just,anger
i was beginning to feel fear nevertheless a stubborn person i am i swept the superstition away but i reminded myself to pay extra caution,anger
i feel i am so strong enough to take this pain thinking how you did me wrong,joy
i was tired sore and didnt really feel like makin the mile trip to church i was ecstatic to be there and enjoyed every minute of it,joy
i feel bad about that but this last years i started to realize no matter how many friends i have or know it doesnt matter im still a loner,sadness
i feel truly successful that brooklyn has been able to latch on and has had no problem going from breast to bottle and back again without skipping a beat,joy
i was trapped in the mall and was starting to feel like a mallrat and i hated it,anger
i feel so pathetic that i stoop down to that level but i really really just want to be happy with whatever i have,sadness
i cannot help but feel outraged to recognize that essentially children in america have no rights at all,anger
i loved feeling lily move and have missed it so much,sadness
i just tell you that the feeling of a skid is not pleasant,joy
i start to feel annoyed about the whole thing and end up ordering pizza,anger
i think unconsciously subconsciously i feel like a vile vile being,anger
i feel dissatisfied with the advances we ve made rather than this team stinks,anger
i feel like federer is more talented player for sure,joy
i flung into my suitcase at the last minute didn t break on the crossing over or explode in the pressurized cabin so thus far i m feeling pretty splendid about things,joy
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness
i wonder if mind readers draw a blank when they get around stupid people and when stupid people leave a room does it feel like somebody smart just walked in,joy
i seem to wake up every day recently feeling immensely irritable and i cant quite work out why,anger
im just feeling rebellious,anger
i suspect those might also be factors in making him not feel rich,joy
i still feel incredibly listless being in albuquerque but at least the weather is improving more or less,sadness
i was feeding morla i started to feel agitated and for no reason,anger
i do i feel like i just make him mad or upset and he doesn t talk to me,anger
i feel more than honoured to be part of this series and join all these wonderful and talented ladies in a celebration of the womanhood,joy
i guess ive been feeling agitated lately,anger
i just want to say all the things i want to say without feeling embarrassed or making other people upset,sadness
i feel like a rockette and i also feel like im glad its over,joy
i did however feel somewhat disheartened at the end of tonight,sadness
i have become too comfortable while at the same time feeling discontent because i have not been pursuing the thing the lord has set on my heart to pursue,sadness
i actually thought i would feel bothered being their since ehb and the other woman ow spent quite a bit of time together there but i didnt feel much of anything,anger
i know many young women sometimes feel like their career is much more important than a family but i would like to share with them the fact that they have a biological clock and at a certain time they may wish to have children but can t yet a man can still have children,joy
i feel extremely needy though i dont feel this way too often,sadness
i am feeling regretful and i apologise,sadness
i havent really talked to anyone about it in depth because i feel like im being whiney repetetive and needy,sadness
i was feeling when nick broke up with me over,sadness
i feel devastated disgusted and betrayed,sadness
i feel i might have been too gloomy about it,sadness
i won t get into making excuses for the man he s a big boy and can do that for himself and his staff i walked away from red rooster feeling dissatisfied underwhelmed and confused,anger
